bidVolume,bidPrice,askVolume,askPrice,timestamp
8,118.7,22,118.71,08:40:00.011740370
10,118.7,22,118.71,08:40:00.011864581
17,118.7,22,118.71,08:40:00.012129717
17,118.7,21,118.71,08:40:00.012953365
17,118.7,20,118.71,08:40:00.013529591
17,118.7,21,118.71,08:40:00.049758460
17,118.7,22,118.71,08:40:00.049929973
17,118.7,21,118.71,08:40:00.066137930
17,118.7,22,118.71,08:40:00.087389829
17,118.7,23,118.71,08:40:00.087548290
17,118.7,22,118.71,08:40:00.104438019
17,118.7,21,118.71,08:40:00.136091863
21,118.7,21,118.71,08:40:00.145737979
21,118.7,20,118.71,08:40:00.145928855
24,118.7,20,118.71,08:40:00.157873458
23,118.7,20,118.71,08:40:00.166733010
23,118.7,21,118.71,08:40:00.170454380
23,118.7,22,118.71,08:40:00.171875394
23,118.7,21,118.71,08:40:00.214998609
23,118.7,20,118.71,08:40:00.215071483
23,118.7,16,118.71,08:40:00.244777354
23,118.7,10,118.71,08:40:00.253086027
24,118.7,10,118.71,08:40:00.253388981
23,118.7,10,118.71,08:40:00.253602203
24,118.7,10,118.71,08:40:00.294211000
24,118.7,9,118.71,08:40:00.294368057
24,118.7,11,118.71,08:40:00.294512341
30,118.7,11,118.71,08:40:00.296604769
32,118.7,11,118.71,08:40:00.296706326
39,118.7,11,118.71,08:40:00.296778941
39,118.7,7,118.71,08:40:00.297405991
39,118.7,5,118.71,08:40:00.297523180
40,118.7,5,118.71,08:40:00.297598342
41,118.7,5,118.71,08:40:00.297788051
41,118.7,6,118.71,08:40:00.297788051
40,118.7,6,118.71,08:40:00.297899401
40,118.7,4,118.71,08:40:00.297997686
40,118.7,3,118.71,08:40:00.298626630
40,118.7,2,118.71,08:40:00.298626630
40,118.7,1,118.71,08:40:00.298626630
40,118.7,45,118.72,08:40:00.298626630
1,118.71,45,118.72,08:40:00.298848111
1,118.71,39,118.72,08:40:00.298867013
1,118.71,36,118.72,08:40:00.298867013
3,118.71,36,118.72,08:40:00.298867013
2,118.71,36,118.72,08:40:00.299033545
40,118.7,36,118.72,08:40:00.299033545
41,118.7,36,118.72,08:40:00.299208327
41,118.7,38,118.72,08:40:00.299208327
49,118.7,38,118.72,08:40:00.299415227
2,118.71,38,118.72,08:40:00.299512044
3,118.71,38,118.72,08:40:00.299512044
2,118.71,38,118.72,08:40:00.299762712
2,118.71,42,118.72,08:40:00.299786501
1,118.71,42,118.72,08:40:00.299933026
49,118.7,42,118.72,08:40:00.299933026
48,118.7,42,118.72,08:40:00.299933026
49,118.7,42,118.72,08:40:00.300057866
2,118.71,42,118.72,08:40:00.300074311
49,118.7,42,118.72,08:40:00.300303095
49,118.7,2,118.71,08:40:00.300453537
50,118.7,2,118.71,08:40:00.300575409
50,118.7,42,118.72,08:40:00.300700049
50,118.7,51,118.72,08:40:00.300913836
50,118.7,1,118.71,08:40:00.300913836
50,118.7,51,118.72,08:40:00.301034545
1,118.71,51,118.72,08:40:00.301271838
3,118.71,51,118.72,08:40:00.301640662
3,118.71,42,118.72,08:40:00.301853079
4,118.71,42,118.72,08:40:00.301853079
2,118.71,42,118.72,08:40:00.303331234
3,118.71,42,118.72,08:40:00.357788794
4,118.71,42,118.72,08:40:00.357988321
7,118.71,42,118.72,08:40:00.358239812
7,118.71,30,118.72,08:40:00.358350908
7,118.71,26,118.72,08:40:00.358350908
6,118.71,26,118.72,08:40:00.369148899
8,118.71,26,118.72,08:40:00.405238337
9,118.71,26,118.72,08:40:00.498696894
14,118.71,26,118.72,08:40:00.499795138
16,118.71,26,118.72,08:40:00.499906816
16,118.71,21,118.72,08:40:00.500125654
16,118.71,18,118.72,08:40:00.500210605
16,118.71,16,118.72,08:40:00.500210605
18,118.71,16,118.72,08:40:00.500731436
23,118.71,16,118.72,08:40:00.502030981
25,118.71,16,118.72,08:40:00.502122239
26,118.71,16,118.72,08:40:00.502224206
25,118.71,16,118.72,08:40:00.612294362
23,118.71,16,118.72,08:40:00.612489485
18,118.71,16,118.72,08:40:00.612560119
18,118.71,21,118.72,08:40:00.612628058
16,118.71,21,118.72,08:40:00.612701674
16,118.71,22,118.72,08:40:00.612814042
11,118.71,22,118.72,08:40:00.612934203
9,118.71,22,118.72,08:40:00.612934203
8,118.71,22,118.72,08:40:00.613082851
9,118.71,22,118.72,08:40:00.613992559
10,118.71,22,118.72,08:40:00.614243845
9,118.71,22,118.72,08:40:00.615914571
10,118.71,22,118.72,08:40:00.616864055
9,118.71,22,118.72,08:40:00.619741135
10,118.71,22,118.72,08:40:00.712523628
10,118.71,17,118.72,08:40:00.713497147
15,118.71,17,118.72,08:40:00.713747032
17,118.71,17,118.72,08:40:00.713817858
17,118.71,16,118.72,08:40:00.713886162
18,118.71,16,118.72,08:40:00.713971355
19,118.71,16,118.72,08:40:00.714123121
21,118.71,16,118.72,08:40:00.717965909
19,118.71,16,118.72,08:40:00.724766522
19,118.71,17,118.72,08:40:00.748207015
19,118.71,20,118.72,08:40:00.748372106
21,118.71,20,118.72,08:40:01.137496949
22,118.71,20,118.72,08:40:01.138761063
27,118.71,20,118.72,08:40:01.138948918
27,118.71,17,118.72,08:40:01.139021719
29,118.71,17,118.72,08:40:01.139021719
28,118.71,17,118.72,08:40:01.139106089
29,118.71,17,118.72,08:40:01.139429466
28,118.71,17,118.72,08:40:01.139964387
28,118.71,16,118.72,08:40:01.205385560
28,118.71,14,118.72,08:40:01.205850332
29,118.71,14,118.72,08:40:01.206008457
28,118.71,14,118.72,08:40:01.206161049
28,118.71,10,118.72,08:40:01.206302171
29,118.71,10,118.72,08:40:01.206488463
39,118.71,10,118.72,08:40:01.206681756
39,118.71,9,118.72,08:40:01.207494600
39,118.71,7,118.72,08:40:01.207762507
39,118.71,3,118.72,08:40:01.207833454
39,118.71,2,118.72,08:40:01.207959150
39,118.71,1,118.72,08:40:01.207959150
39,118.71,93,118.73,08:40:01.207959150
39,118.71,4,118.72,08:40:01.208278904
50,118.71,4,118.72,08:40:01.208278904
53,118.71,4,118.72,08:40:01.208381642
53,118.71,9,118.72,08:40:01.208590605
53,118.71,11,118.72,08:40:01.208864035
42,118.71,11,118.72,08:40:01.208864035
42,118.71,13,118.72,08:40:01.209025265
42,118.71,14,118.72,08:40:01.209104567
42,118.71,13,118.72,08:40:01.209417303
39,118.71,13,118.72,08:40:01.211627257
39,118.71,15,118.72,08:40:01.213753239
39,118.71,13,118.72,08:40:01.214394250
39,118.71,14,118.72,08:40:01.215490531
29,118.71,14,118.72,08:40:01.216296732
29,118.71,15,118.72,08:40:01.216364444
28,118.71,15,118.72,08:40:01.216438226
28,118.71,19,118.72,08:40:01.216507794
28,118.71,20,118.72,08:40:01.216575423
29,118.71,20,118.72,08:40:01.216850763
29,118.71,21,118.72,08:40:01.216850763
30,118.71,21,118.72,08:40:01.216915624
29,118.71,21,118.72,08:40:01.218759492
30,118.71,21,118.72,08:40:01.220110789
30,118.71,20,118.72,08:40:01.220182200
30,118.71,21,118.72,08:40:01.220550530
29,118.71,21,118.72,08:40:01.220624588
34,118.71,21,118.72,08:40:01.224802051
34,118.71,20,118.72,08:40:01.226526744
34,118.71,21,118.72,08:40:01.239383202
36,118.71,21,118.72,08:40:01.275873370
37,118.71,21,118.72,08:40:01.293460858
37,118.71,20,118.72,08:40:01.408563126
37,118.71,21,118.72,08:40:01.411551635
37,118.71,22,118.72,08:40:01.418404508
37,118.71,21,118.72,08:40:01.445971539
37,118.71,22,118.72,08:40:01.549674617
37,118.71,21,118.72,08:40:01.564313512
43,118.71,21,118.72,08:40:01.567472517
43,118.71,20,118.72,08:40:01.567600565
43,118.71,21,118.72,08:40:01.612170791
43,118.71,22,118.72,08:40:01.613235824
43,118.71,21,118.72,08:40:01.619448283
43,118.71,20,118.72,08:40:01.623647811
43,118.71,21,118.72,08:40:01.632451701
43,118.71,22,118.72,08:40:01.632658313
43,118.71,21,118.72,08:40:01.653247012
43,118.71,22,118.72,08:40:01.660128967
43,118.71,21,118.72,08:40:01.777153763
43,118.71,20,118.72,08:40:01.777477946
43,118.71,21,118.72,08:40:01.791742182
43,118.71,22,118.72,08:40:01.792002345
43,118.71,21,118.72,08:40:01.857250944
43,118.71,22,118.72,08:40:01.857465347
43,118.71,21,118.72,08:40:01.860982096
43,118.71,20,118.72,08:40:01.861129885
43,118.71,21,118.72,08:40:01.865109978
43,118.71,22,118.72,08:40:01.865250730
41,118.71,22,118.72,08:40:01.908625261
41,118.71,21,118.72,08:40:01.963668730
41,118.71,22,118.72,08:40:01.967140613
41,118.71,21,118.72,08:40:01.968087692
41,118.71,20,118.72,08:40:01.968219812
41,118.71,21,118.72,08:40:01.969864671
41,118.71,22,118.72,08:40:01.970004012
41,118.71,21,118.72,08:40:01.972304567
41,118.71,20,118.72,08:40:01.973850928
41,118.71,19,118.72,08:40:01.989985269
41,118.71,20,118.72,08:40:01.994635560
41,118.71,21,118.72,08:40:01.994782517
41,118.71,22,118.72,08:40:01.994925698
46,118.71,22,118.72,08:40:02.018303469
46,118.71,21,118.72,08:40:02.018466440
46,118.71,20,118.72,08:40:02.018537761
46,118.71,16,118.72,08:40:02.032450552
46,118.71,17,118.72,08:40:02.035535820
46,118.71,16,118.72,08:40:02.065332657
51,118.71,16,118.72,08:40:02.161594172
51,118.71,18,118.72,08:40:02.321933538
51,118.71,22,118.72,08:40:02.326058821
51,118.71,23,118.72,08:40:02.326573013
50,118.71,23,118.72,08:40:02.327631249
50,118.71,22,118.72,08:40:02.336422664
50,118.71,23,118.72,08:40:02.351728880
50,118.71,22,118.72,08:40:02.362323475
50,118.71,20,118.72,08:40:02.412445709
50,118.71,22,118.72,08:40:02.414720452
51,118.71,22,118.72,08:40:02.422258787
51,118.71,20,118.72,08:40:02.425826423
51,118.71,21,118.72,08:40:02.433971861
51,118.71,22,118.72,08:40:02.434040139
51,118.71,23,118.72,08:40:02.442797045
51,118.71,22,118.72,08:40:02.452700625
50,118.71,22,118.72,08:40:02.506431424
50,118.71,28,118.72,08:40:02.508340168
45,118.71,28,118.72,08:40:02.508429541
43,118.71,28,118.72,08:40:02.508429541
43,118.71,30,118.72,08:40:02.508429541
38,118.71,30,118.72,08:40:02.510442906
36,118.71,30,118.72,08:40:02.510442906
35,118.71,30,118.72,08:40:02.511400153
35,118.71,31,118.72,08:40:02.575473377
34,118.71,31,118.72,08:40:02.575684206
34,118.71,32,118.72,08:40:02.575750103
33,118.71,32,118.72,08:40:02.575916785
32,118.71,32,118.72,08:40:02.576495869
31,118.71,32,118.72,08:40:02.594247803
31,118.71,31,118.72,08:40:02.594393457
29,118.71,31,118.72,08:40:02.595988950
26,118.71,31,118.72,08:40:02.730484341
26,118.71,36,118.72,08:40:02.730652082
26,118.71,37,118.72,08:40:02.730836411
25,118.71,37,118.72,08:40:02.751354368
24,118.71,37,118.72,08:40:02.751440825
23,118.71,37,118.72,08:40:02.751440825
18,118.71,37,118.72,08:40:02.751850822
17,118.71,37,118.72,08:40:02.751850822
16,118.71,37,118.72,08:40:02.751850822
12,118.71,37,118.72,08:40:02.751964253
11,118.71,37,118.72,08:40:02.751991900
11,118.71,38,118.72,08:40:02.752148789
11,118.71,47,118.72,08:40:02.752273501
10,118.71,47,118.72,08:40:02.752450284
6,118.71,47,118.72,08:40:02.752450284
2,118.71,47,118.72,08:40:02.752450284
1,118.71,47,118.72,08:40:02.752696969
1,118.71,53,118.72,08:40:02.752696969
58,118.7,53,118.72,08:40:02.752864070
58,118.7,5,118.71,08:40:02.752891643
58,118.7,7,118.71,08:40:02.752891643
58,118.7,8,118.71,08:40:02.753078930
58,118.7,10,118.71,08:40:02.753078930
53,118.7,10,118.71,08:40:02.753171378
53,118.7,5,118.71,08:40:02.753293000
53,118.7,6,118.71,08:40:02.753312360
53,118.7,8,118.71,08:40:02.753312360
45,118.7,8,118.71,08:40:02.753312360
44,118.7,8,118.71,08:40:02.753444274
44,118.7,6,118.71,08:40:02.753492977
44,118.7,4,118.71,08:40:02.753618005
43,118.7,4,118.71,08:40:02.753735563
47,118.7,4,118.71,08:40:02.753735563
47,118.7,2,118.71,08:40:02.753860907
48,118.7,2,118.71,08:40:02.753860907
58,118.7,2,118.71,08:40:02.754174689
58,118.7,4,118.71,08:40:02.754216958
58,118.7,3,118.71,08:40:02.754294750
58,118.7,2,118.71,08:40:02.754294750
58,118.7,57,118.72,08:40:02.754469496
59,118.7,57,118.72,08:40:02.754572875
59,118.7,5,118.71,08:40:02.759353310
59,118.7,6,118.71,08:40:02.774928330
59,118.7,5,118.71,08:40:02.777842424
60,118.7,5,118.71,08:40:02.777997304
60,118.7,4,118.71,08:40:02.778327463
60,118.7,3,118.71,08:40:02.778892298
61,118.7,3,118.71,08:40:02.802059742
61,118.7,5,118.71,08:40:02.900105864
61,118.7,7,118.71,08:40:02.900169570
60,118.7,7,118.71,08:40:02.900369356
62,118.7,7,118.71,08:40:03.025075540
62,118.7,5,118.71,08:40:03.068155121
62,118.7,3,118.71,08:40:03.307699599
62,118.7,1,118.71,08:40:03.308365470
62,118.7,51,118.72,08:40:03.308365470
74,118.7,51,118.72,08:40:03.426347985
74,118.7,52,118.72,08:40:03.503220799
74,118.7,54,118.72,08:40:03.503418268
75,118.7,54,118.72,08:40:04.103418850
75,118.7,52,118.72,08:40:04.127167099
2,118.71,52,118.72,08:40:04.472197391
6,118.71,52,118.72,08:40:04.472277436
8,118.71,52,118.72,08:40:04.472435995
9,118.71,52,118.72,08:40:04.472514584
11,118.71,52,118.72,08:40:04.472591672
12,118.71,52,118.72,08:40:04.472698989
12,118.71,43,118.72,08:40:04.472698989
12,118.71,37,118.72,08:40:04.472778653
12,118.71,36,118.72,08:40:04.472859498
